3300009517-bin.12_KBJPLPBP_00001	K04063
3300026284-bin.6_BEJBMJGD_00205	K01703
3300026284-bin.6_BEJBMJGD_00209	K01885
3300026284-bin.6_BEJBMJGD_00212	K01649
3300026284-bin.6_BEJBMJGD_00214	K02012
3300026284-bin.6_BEJBMJGD_00215	K02011
3300026284-bin.6_BEJBMJGD_00216	K10822
3300026284-bin.6_BEJBMJGD_00217	K13985
3300026284-bin.6_BEJBMJGD_00219	K07010
3300026284-bin.6_BEJBMJGD_00220	K00059
3300026284-bin.6_BEJBMJGD_00222	K01915
3300026284-bin.6_BEJBMJGD_00225	K00303
3300026284-bin.6_BEJBMJGD_00226	K07251
3300026284-bin.6_BEJBMJGD_00228	K00826
3300026284-bin.6_BEJBMJGD_00231	K07454
3300026284-bin.6_BEJBMJGD_00235	K00052
3300026284-bin.6_BEJBMJGD_00236	K04090
3300026284-bin.6_BEJBMJGD_00239	K00058
3300026284-bin.6_BEJBMJGD_00244	K00053
3300026284-bin.6_BEJBMJGD_00245	K01653
3300026284-bin.6_BEJBMJGD_00246	K01652
3300026284-bin.6_BEJBMJGD_00248	K01687
3300026284-bin.6_BEJBMJGD_00249	K08296
3300026284-bin.6_BEJBMJGD_00251	K02434
3300026284-bin.6_BEJBMJGD_00252	K02433
3300026284-bin.6_BEJBMJGD_00253	K02435
3300026284-bin.6_BEJBMJGD_00256	K20444
3300026284-bin.6_BEJBMJGD_00258	K22390
3300026284-bin.6_BEJBMJGD_00264	K03651
3300026284-bin.6_BEJBMJGD_00265	K01972
3300026284-bin.6_BEJBMJGD_00267	K02003
3300026284-bin.6_BEJBMJGD_00268	K02004
3300026284-bin.6_BEJBMJGD_00269	K00666
3300026284-bin.6_BEJBMJGD_00273	K07005
3300026284-bin.6_BEJBMJGD_00274	K06911
3300026284-bin.6_BEJBMJGD_00275	K00566
3300026284-bin.6_BEJBMJGD_00276	K04487
3300026284-bin.6_BEJBMJGD_00277	K08225
3300026284-bin.6_BEJBMJGD_00279	K03522
3300026284-bin.6_BEJBMJGD_00280	K03521
3300026284-bin.6_BEJBMJGD_00281	K01692
3300026284-bin.6_BEJBMJGD_00283	K01214
3300026284-bin.6_BEJBMJGD_00284	K16147
3300026284-bin.6_BEJBMJGD_00286	K00688
3300026284-bin.6_BEJBMJGD_00287	K05343
3300026284-bin.6_BEJBMJGD_00288	K16146
3300026284-bin.6_BEJBMJGD_00289	K00700
3300026284-bin.6_BEJBMJGD_00295	K07214
3300026284-bin.6_BEJBMJGD_00296	K05838
3300026284-bin.6_BEJBMJGD_00301	K07588
3300026284-bin.6_BEJBMJGD_00302	K00626
3300026284-bin.6_BEJBMJGD_00303	K07729
3300026284-bin.6_BEJBMJGD_00305	K05606
3300026284-bin.6_BEJBMJGD_00307	K17829
3300026284-bin.6_BEJBMJGD_00311	K00074
3300026284-bin.6_BEJBMJGD_00312	K07503
3300026284-bin.6_BEJBMJGD_00316	K14447
3300026284-bin.6_BEJBMJGD_00318	K00798
3300026284-bin.6_BEJBMJGD_00320	K02114
3300026284-bin.6_BEJBMJGD_00321	K02112
3300026284-bin.6_BEJBMJGD_00322	K02115
3300026284-bin.6_BEJBMJGD_00323	K02111
3300026284-bin.6_BEJBMJGD_00324	K02113
3300026284-bin.6_BEJBMJGD_00325	K02109
3300026284-bin.6_BEJBMJGD_00326	K02110
3300026284-bin.6_BEJBMJGD_00327	K02108
3300026284-bin.6_BEJBMJGD_00330	K02851
3300026284-bin.6_BEJBMJGD_00331	K00600
3300026284-bin.6_BEJBMJGD_00332	K07566
3300026284-bin.6_BEJBMJGD_00333	K06976
3300026284-bin.6_BEJBMJGD_00334	K02493
3300026284-bin.6_BEJBMJGD_00335	K02835
3300026284-bin.6_BEJBMJGD_00336	K02909
3300026284-bin.6_BEJBMJGD_00341	K03628
3300026284-bin.6_BEJBMJGD_00342	K00872
3300026284-bin.6_BEJBMJGD_00343	K01733
3300026284-bin.6_BEJBMJGD_00344	K00003
3300026284-bin.6_BEJBMJGD_00345	K01586
3300026284-bin.6_BEJBMJGD_00346	K01887
3300026284-bin.6_BEJBMJGD_00350	K03699
3300026284-bin.6_BEJBMJGD_00351	K01990
3300026284-bin.6_BEJBMJGD_00353	K00164
3300026284-bin.6_BEJBMJGD_00357	K00067
3300026284-bin.6_BEJBMJGD_00358	K01710
3300026284-bin.6_BEJBMJGD_00359	K00973
3300026284-bin.6_BEJBMJGD_00360	K01790
3300026284-bin.6_BEJBMJGD_00363	K00518
3300026284-bin.6_BEJBMJGD_00364	K01809
3300026284-bin.6_BEJBMJGD_00369	K03088
3300026284-bin.6_BEJBMJGD_00370	K07020
3300026284-bin.6_BEJBMJGD_00373	K00800
3300026284-bin.6_BEJBMJGD_00374	K06949
3300026284-bin.6_BEJBMJGD_00375	K02032
3300026284-bin.6_BEJBMJGD_00376	K02031
3300026284-bin.6_BEJBMJGD_00377	K02034
3300026284-bin.6_BEJBMJGD_00378	K02033
3300026284-bin.6_BEJBMJGD_00379	K15580
3300026284-bin.6_BEJBMJGD_00380	K05602
3300026284-bin.6_BEJBMJGD_00382	K07263
3300026284-bin.6_BEJBMJGD_00383	K06975
3300026284-bin.6_BEJBMJGD_00385	K09118
3300026284-bin.6_BEJBMJGD_00387	K07177
3300026284-bin.6_BEJBMJGD_00388	K03635
3300026284-bin.6_BEJBMJGD_00397	K18958
3300026284-bin.6_BEJBMJGD_00399	K03657
3300026284-bin.6_BEJBMJGD_00400	K03426
3300026284-bin.6_BEJBMJGD_00402	K03657
3300026284-bin.6_BEJBMJGD_00404	K21147
3300026284-bin.6_BEJBMJGD_00409	K02146
3300026284-bin.6_BEJBMJGD_00410	K13979
3300026284-bin.6_BEJBMJGD_00411	K03496
3300026284-bin.6_BEJBMJGD_00412	K07053
3300026284-bin.6_BEJBMJGD_00413	K14449
3300026284-bin.6_BEJBMJGD_00416	K03286
3300026284-bin.6_BEJBMJGD_00418	K00864
3300026284-bin.6_BEJBMJGD_00419	K00111
3300026284-bin.6_BEJBMJGD_00422	K01262
3300026284-bin.6_BEJBMJGD_00423	K02116
3300026284-bin.6_BEJBMJGD_00426	K07178
3300026284-bin.6_BEJBMJGD_00429	K03088
3300026284-bin.6_BEJBMJGD_00434	K01644
3300026284-bin.6_BEJBMJGD_00435	K08691
3300026284-bin.6_BEJBMJGD_00437	K06213
3300026284-bin.6_BEJBMJGD_00439	K03593
3300026284-bin.6_BEJBMJGD_00440	K03117
3300026284-bin.6_BEJBMJGD_00441	K08372
3300026284-bin.6_BEJBMJGD_00442	K03088
3300026284-bin.6_BEJBMJGD_00443	K00588
3300026284-bin.6_BEJBMJGD_00445	K01255
3300026284-bin.6_BEJBMJGD_00450	K01439
3300026284-bin.6_BEJBMJGD_00451	K00674
3300026284-bin.6_BEJBMJGD_00453	K01647
3300026284-bin.6_BEJBMJGD_00456	K05524
3300026284-bin.6_BEJBMJGD_00457	K22476
3300026284-bin.6_BEJBMJGD_00463	K06207
3300026284-bin.6_BEJBMJGD_00464	K02035
3300026284-bin.6_BEJBMJGD_00465	K02033
3300026284-bin.6_BEJBMJGD_00466	K02034
3300026284-bin.6_BEJBMJGD_00467	K02031
3300026284-bin.6_BEJBMJGD_00468	K02032
3300026284-bin.6_BEJBMJGD_00469	K01724
3300026284-bin.6_BEJBMJGD_00470	K22736
3300026284-bin.6_BEJBMJGD_00472	K00705
3300026284-bin.6_BEJBMJGD_00473	K03386
3300026284-bin.6_BEJBMJGD_00478	K21498
3300026284-bin.6_BEJBMJGD_00482	K06942
3300026284-bin.6_BEJBMJGD_00485	K05596
3300026284-bin.6_BEJBMJGD_00486	K06895
3300026284-bin.6_BEJBMJGD_00487	K09760
3300026284-bin.6_BEJBMJGD_00489	K03527
3300026284-bin.6_BEJBMJGD_00490	K06188
3300026284-bin.6_BEJBMJGD_00491	K03701
3300026284-bin.6_BEJBMJGD_00492	K03601
3300026284-bin.6_BEJBMJGD_00493	K03602
3300026284-bin.6_BEJBMJGD_00495	K00847
3300026284-bin.6_BEJBMJGD_00496	K01676
3300026284-bin.6_BEJBMJGD_00497	K01673
3300026284-bin.6_BEJBMJGD_00498	K01673
3300026284-bin.6_BEJBMJGD_00500	K05350
3300026284-bin.6_BEJBMJGD_00501	K02030
3300026284-bin.6_BEJBMJGD_00502	K02029
3300026284-bin.6_BEJBMJGD_00503	K02028
3300026284-bin.6_BEJBMJGD_00504	K03431
3300026284-bin.6_BEJBMJGD_00505	K02996
3300026284-bin.6_BEJBMJGD_00506	K02871
3300026284-bin.6_BEJBMJGD_00509	K00252
3300026284-bin.6_BEJBMJGD_00511	K00849
3300026284-bin.6_BEJBMJGD_00512	K00963
3300026284-bin.6_BEJBMJGD_00513	K01176
3300026284-bin.6_BEJBMJGD_00515	K06173
3300026284-bin.6_BEJBMJGD_00516	K01845
3300026284-bin.6_BEJBMJGD_00519	K02879
3300026284-bin.6_BEJBMJGD_00520	K03040
3300026284-bin.6_BEJBMJGD_00521	K02986
3300026284-bin.6_BEJBMJGD_00522	K02948
3300026284-bin.6_BEJBMJGD_00523	K02952
3300026284-bin.6_BEJBMJGD_00524	K02919
3300026284-bin.6_BEJBMJGD_00525	K02518
3300026284-bin.6_BEJBMJGD_00527	K07052
3300026284-bin.6_BEJBMJGD_00528	K00285
3300026284-bin.6_BEJBMJGD_00530	K07588
3300026284-bin.6_BEJBMJGD_00531	K01847
3300026284-bin.6_BEJBMJGD_00534	K01265
3300026284-bin.6_BEJBMJGD_00536	K07160
3300026284-bin.6_BEJBMJGD_00540	K00939
3300026284-bin.6_BEJBMJGD_00541	K03076
3300026284-bin.6_BEJBMJGD_00542	K02876
3300026284-bin.6_BEJBMJGD_00543	K02907
3300026284-bin.6_BEJBMJGD_00544	K02988
3300026284-bin.6_BEJBMJGD_00545	K02881
3300026284-bin.6_BEJBMJGD_00546	K02933
3300026284-bin.6_BEJBMJGD_00547	K02994
3300026284-bin.6_BEJBMJGD_00548	K02954
3300026284-bin.6_BEJBMJGD_00549	K02931
3300026284-bin.6_BEJBMJGD_00550	K02895
3300026284-bin.6_BEJBMJGD_00551	K02874
3300026284-bin.6_BEJBMJGD_00552	K02961
3300026284-bin.6_BEJBMJGD_00553	K02904
3300026284-bin.6_BEJBMJGD_00554	K02878
3300026284-bin.6_BEJBMJGD_00555	K02982
3300026284-bin.6_BEJBMJGD_00556	K02890
3300026284-bin.6_BEJBMJGD_00557	K02965
3300026284-bin.6_BEJBMJGD_00558	K02886
3300026284-bin.6_BEJBMJGD_00559	K02892
3300026284-bin.6_BEJBMJGD_00560	K02926
3300026284-bin.6_BEJBMJGD_00561	K02906
3300026284-bin.6_BEJBMJGD_00562	K02946
3300026284-bin.6_BEJBMJGD_00564	K15268
3300026284-bin.6_BEJBMJGD_00566	K03885
3300026284-bin.6_BEJBMJGD_00568	K02358
3300026284-bin.6_BEJBMJGD_00569	K02355
3300026284-bin.6_BEJBMJGD_00570	K02992
3300026284-bin.6_BEJBMJGD_00571	K02950
3300026284-bin.6_BEJBMJGD_00573	K03824
3300026284-bin.6_BEJBMJGD_00574	K03046
3300026284-bin.6_BEJBMJGD_00575	K03043
3300026284-bin.6_BEJBMJGD_00576	K02935
3300026284-bin.6_BEJBMJGD_00577	K02864
3300026284-bin.6_BEJBMJGD_00578	K02863
3300026284-bin.6_BEJBMJGD_00579	K02867
3300026284-bin.6_BEJBMJGD_00580	K02601
3300026284-bin.6_BEJBMJGD_00581	K03073
3300026284-bin.6_BEJBMJGD_00585	K01488
3300026284-bin.6_BEJBMJGD_00587	K00075
3300026284-bin.6_BEJBMJGD_00590	K01845
3300026284-bin.6_BEJBMJGD_00591	K00135
3300026284-bin.6_BEJBMJGD_00592	K07250
3300026284-bin.6_BEJBMJGD_00593	K01480
3300026284-bin.6_BEJBMJGD_00595	K11070
3300026284-bin.6_BEJBMJGD_00596	K11071
3300026284-bin.6_BEJBMJGD_00597	K11072
3300026284-bin.6_BEJBMJGD_00599	K00130
3300026284-bin.6_BEJBMJGD_00600	K03718
3300026284-bin.6_BEJBMJGD_00602	K02913
3300026284-bin.6_BEJBMJGD_00606	K17836
3300026284-bin.6_BEJBMJGD_00607	K08683
3300026284-bin.6_BEJBMJGD_00609	K01151
3300026284-bin.6_BEJBMJGD_00617	K11942
3300026284-bin.6_BEJBMJGD_00620	K03786
3300026284-bin.6_BEJBMJGD_00625	K03519
3300026284-bin.6_BEJBMJGD_00626	K03520
3300026284-bin.6_BEJBMJGD_00627	K03518
3300026284-bin.6_BEJBMJGD_00628	K07402
3300026284-bin.6_BEJBMJGD_00629	K07161
3300026284-bin.6_BEJBMJGD_00631	K07141
3300026284-bin.6_BEJBMJGD_00634	K07058
3300026284-bin.6_BEJBMJGD_00635	K00666
3300026284-bin.6_BEJBMJGD_00639	K09767
3300026284-bin.6_BEJBMJGD_00640	K01256
3300026284-bin.6_BEJBMJGD_00641	K03799
3300026284-bin.6_BEJBMJGD_00647	K00338
3300026284-bin.6_BEJBMJGD_00648	K00337
3300026284-bin.6_BEJBMJGD_00651	K00331
3300026284-bin.6_BEJBMJGD_00654	K00330
3300026284-bin.6_BEJBMJGD_00655	K00174
3300026284-bin.6_BEJBMJGD_00656	K00175
3300026284-bin.6_BEJBMJGD_00657	K05786
3300026284-bin.6_BEJBMJGD_00659	K07171
3300026284-bin.6_BEJBMJGD_00660	K00805
3300026284-bin.6_BEJBMJGD_00661	K00343
3300026284-bin.6_BEJBMJGD_00662	K00342
3300026284-bin.6_BEJBMJGD_00663	K00341
3300026284-bin.6_BEJBMJGD_00664	K00340
3300026284-bin.6_BEJBMJGD_00665	K00339
3300026284-bin.6_BEJBMJGD_00666	K00338
3300026284-bin.6_BEJBMJGD_00667	K00337
3300026284-bin.6_BEJBMJGD_00668	K00336
3300026284-bin.6_BEJBMJGD_00669	K00335
3300026284-bin.6_BEJBMJGD_00670	K00334
3300026284-bin.6_BEJBMJGD_00671	K00333
3300026284-bin.6_BEJBMJGD_00672	K00332
3300026284-bin.6_BEJBMJGD_00673	K00331
3300026284-bin.6_BEJBMJGD_00674	K00330
3300026284-bin.6_BEJBMJGD_00675	K03183
3300026284-bin.6_BEJBMJGD_00676	K02552
3300026284-bin.6_BEJBMJGD_00677	K21401
3300026284-bin.6_BEJBMJGD_00678	K02551
3300026284-bin.6_BEJBMJGD_00681	K17883
3300026284-bin.6_BEJBMJGD_00683	K07214
3300026284-bin.6_BEJBMJGD_00687	K02549
3300026284-bin.6_BEJBMJGD_00691	K01661
3300026284-bin.6_BEJBMJGD_00693	K02549
3300026284-bin.6_BEJBMJGD_00697	K01911
3300026284-bin.6_BEJBMJGD_00699	K02548
3300026284-bin.6_BEJBMJGD_00702	K07399
3300026284-bin.6_BEJBMJGD_00703	K06196
3300026284-bin.6_BEJBMJGD_00705	K01845
3300026284-bin.6_BEJBMJGD_00707	K01698
3300026284-bin.6_BEJBMJGD_00708	K13542
3300026284-bin.6_BEJBMJGD_00709	K01749
3300026284-bin.6_BEJBMJGD_00710	K02492
3300026284-bin.6_BEJBMJGD_00711	K01926
3300026284-bin.6_BEJBMJGD_00717	K04768
3300026284-bin.6_BEJBMJGD_00718	K03499
3300026284-bin.6_BEJBMJGD_00720	K00286
3300026284-bin.6_BEJBMJGD_00721	K00318
3300026284-bin.6_BEJBMJGD_00722	K01992
3300026284-bin.6_BEJBMJGD_00723	K01990
3300026284-bin.6_BEJBMJGD_00726	K01524
3300026284-bin.6_BEJBMJGD_00731	K00278
3300026284-bin.6_BEJBMJGD_00732	K01579
3300026284-bin.6_BEJBMJGD_00733	K01918
3300026284-bin.6_BEJBMJGD_00738	K18476
3300026284-bin.6_BEJBMJGD_00741	K13940
3300026284-bin.6_BEJBMJGD_00742	K00796
3300026284-bin.6_BEJBMJGD_00744	K01495
3300026284-bin.6_BEJBMJGD_00745	K03798
3300026284-bin.6_BEJBMJGD_00746	K00760
3300026284-bin.6_BEJBMJGD_00747	K04075
3300026284-bin.6_BEJBMJGD_00749	K07259
3300026284-bin.6_BEJBMJGD_00750	K01507
3300026284-bin.6_BEJBMJGD_00751	K21471
3300026284-bin.6_BEJBMJGD_00755	K02341
3300026284-bin.6_BEJBMJGD_00756	K00943
3300026284-bin.6_BEJBMJGD_00758	K21744
3300026284-bin.6_BEJBMJGD_00761	K03168
3300026284-bin.6_BEJBMJGD_00762	K15777
3300026284-bin.6_BEJBMJGD_00764	K01669
3300026284-bin.6_BEJBMJGD_00765	K22491
3300026284-bin.6_BEJBMJGD_00768	K06147
3300026284-bin.6_BEJBMJGD_00772	K15987
3300026284-bin.6_BEJBMJGD_00773	K04749
3300026284-bin.6_BEJBMJGD_00774	K06877
3300026284-bin.6_BEJBMJGD_00781	K02283
3300026284-bin.6_BEJBMJGD_00788	K14393
3300026284-bin.6_BEJBMJGD_00789	K00639
3300026284-bin.6_BEJBMJGD_00791	K00060
3300026284-bin.6_BEJBMJGD_00793	K14393
3300026284-bin.6_BEJBMJGD_00794	K20469
3300026284-bin.6_BEJBMJGD_00795	K00500
3300026284-bin.6_BEJBMJGD_00796	K01895
3300026284-bin.6_BEJBMJGD_00804	K03558
3300026284-bin.6_BEJBMJGD_00806	K10773
3300026284-bin.6_BEJBMJGD_00807	K10914
3300026284-bin.6_BEJBMJGD_00808	K16639
3300026284-bin.6_BEJBMJGD_00812	K02769
3300026284-bin.6_BEJBMJGD_00813	K00882
3300026284-bin.6_BEJBMJGD_00814	K03436
3300026284-bin.6_BEJBMJGD_00816	K02798
3300026284-bin.6_BEJBMJGD_00821	K01551
3300026284-bin.6_BEJBMJGD_00822	K01551
3300026284-bin.6_BEJBMJGD_00823	K18955
3300026284-bin.6_BEJBMJGD_00825	K09117
3300026284-bin.6_BEJBMJGD_00826	K07098
3300026284-bin.6_BEJBMJGD_00831	K06133
3300026284-bin.6_BEJBMJGD_00842	K03299
3300026284-bin.6_BEJBMJGD_00847	K07448
3300026284-bin.6_BEJBMJGD_00851	K14059
3300026284-bin.6_BEJBMJGD_00852	K02484
3300026284-bin.6_BEJBMJGD_00858	K00895
3300026284-bin.6_BEJBMJGD_00859	K00133
3300026284-bin.6_BEJBMJGD_00860	K00928
3300026284-bin.6_BEJBMJGD_00863	K06187
3300026284-bin.6_BEJBMJGD_00864	K00655
3300026284-bin.6_BEJBMJGD_00865	K02343
3300026284-bin.6_BEJBMJGD_00866	K07404
3300026284-bin.6_BEJBMJGD_00870	K00626
3300026284-bin.6_BEJBMJGD_00871	K00626
3300026284-bin.6_BEJBMJGD_00873	K00984
3300026284-bin.6_BEJBMJGD_00875	K01908
3300026284-bin.6_BEJBMJGD_00876	K07088
3300026284-bin.6_BEJBMJGD_00879	K06915
3300026284-bin.6_BEJBMJGD_00883	K03975
3300026284-bin.6_BEJBMJGD_00884	K03975
3300026284-bin.6_BEJBMJGD_00887	K11991
3300026284-bin.6_BEJBMJGD_00888	K00761
3300026284-bin.6_BEJBMJGD_00891	K03294
3300026284-bin.6_BEJBMJGD_00892	K00325
3300026284-bin.6_BEJBMJGD_00893	K00324
3300026284-bin.6_BEJBMJGD_00894	K02575
3300026284-bin.6_BEJBMJGD_00895	K02575
3300026284-bin.6_BEJBMJGD_00897	K00370
3300026284-bin.6_BEJBMJGD_00898	K00371
3300026284-bin.6_BEJBMJGD_00899	K00373
3300026284-bin.6_BEJBMJGD_00900	K00374
3300026284-bin.6_BEJBMJGD_00904	K00666
3300026284-bin.6_BEJBMJGD_00905	K00104
3300026284-bin.6_BEJBMJGD_00906	K01634
3300026284-bin.6_BEJBMJGD_00908	K21449
3300026284-bin.6_BEJBMJGD_00911	K11530
3300026284-bin.6_BEJBMJGD_00912	K14260
3300026284-bin.6_BEJBMJGD_00913	K06199
3300026284-bin.6_BEJBMJGD_00914	K06199
3300026284-bin.6_BEJBMJGD_00917	K01596
3300026284-bin.6_BEJBMJGD_00918	K01596
3300026284-bin.6_BEJBMJGD_00928	K01596
3300026284-bin.6_BEJBMJGD_00930	K01990
3300026284-bin.6_BEJBMJGD_00936	K02483
3300026284-bin.6_BEJBMJGD_00937	K02484
3300026284-bin.6_BEJBMJGD_00947	K11168
3300026284-bin.6_BEJBMJGD_00948	K07052
3300026284-bin.6_BEJBMJGD_00950	K00574
3300026284-bin.6_BEJBMJGD_00951	K09701
3300026284-bin.6_BEJBMJGD_00952	K06954
3300026284-bin.6_BEJBMJGD_00956	K03704
3300026284-bin.6_BEJBMJGD_00960	K07486
3300026284-bin.6_BEJBMJGD_00965	K07452
3300026284-bin.6_BEJBMJGD_00966	K19147
3300026284-bin.6_BEJBMJGD_00974	K03088
3300026284-bin.6_BEJBMJGD_00975	K01724
3300026284-bin.6_BEJBMJGD_00978	K07483
3300026284-bin.6_BEJBMJGD_00979	K07497
3300026284-bin.6_BEJBMJGD_00982	K07483
3300026284-bin.6_BEJBMJGD_00983	K07497
3300026284-bin.6_BEJBMJGD_00990	K16264
3300026284-bin.6_BEJBMJGD_00996	K03496
3300026284-bin.6_BEJBMJGD_01002	K07497
3300026284-bin.6_BEJBMJGD_01005	K03427
3300026284-bin.6_BEJBMJGD_01006	K01154
3300026284-bin.6_BEJBMJGD_01007	K01153
3300026284-bin.6_BEJBMJGD_01009	K02314
3300026284-bin.6_BEJBMJGD_01017	K03327
3300026284-bin.6_BEJBMJGD_01020	K12960
3300026284-bin.6_BEJBMJGD_01021	K09705
3300026284-bin.6_BEJBMJGD_01023	K07335
3300026284-bin.6_BEJBMJGD_01024	K02057
3300026284-bin.6_BEJBMJGD_01025	K02057
3300026284-bin.6_BEJBMJGD_01026	K02056
3300026284-bin.6_BEJBMJGD_01028	K22770
3300026284-bin.6_BEJBMJGD_01029	K22769
3300026284-bin.6_BEJBMJGD_01030	K05814
3300026284-bin.6_BEJBMJGD_01031	K05815
3300026284-bin.6_BEJBMJGD_01032	K05813
3300026284-bin.6_BEJBMJGD_01034	K01126
3300026284-bin.6_BEJBMJGD_01035	K07090
3300026284-bin.6_BEJBMJGD_01037	K00016
3300026284-bin.6_BEJBMJGD_01038	K00140
3300026284-bin.6_BEJBMJGD_01039	K15372
3300026284-bin.6_BEJBMJGD_01040	K00010
3300026284-bin.6_BEJBMJGD_01042	K03710
3300026284-bin.6_BEJBMJGD_01046	K04567
3300026284-bin.6_BEJBMJGD_01051	K03744
3300026284-bin.6_BEJBMJGD_01053	K03310
3300026284-bin.6_BEJBMJGD_01058	K01990
3300026284-bin.6_BEJBMJGD_01061	K01971
3300026284-bin.6_BEJBMJGD_01062	K01971
3300026284-bin.6_BEJBMJGD_01063	K10979
3300026284-bin.6_BEJBMJGD_01064	K01126
3300026284-bin.6_BEJBMJGD_01065	K18833
3300026284-bin.6_BEJBMJGD_01066	K05522
3300026284-bin.6_BEJBMJGD_01067	K03649
3300026284-bin.6_BEJBMJGD_01068	K03696
3300026284-bin.6_BEJBMJGD_01071	K01920
3300026284-bin.6_BEJBMJGD_01073	K00619
3300026284-bin.6_BEJBMJGD_01074	K00851
3300026284-bin.6_BEJBMJGD_01075	K03299
3300026284-bin.6_BEJBMJGD_01076	K03575
3300026284-bin.6_BEJBMJGD_01077	K07067
3300026284-bin.6_BEJBMJGD_01078	K04485
3300026284-bin.6_BEJBMJGD_01080	K02939
3300026284-bin.6_BEJBMJGD_01081	K02963
3300026284-bin.6_BEJBMJGD_01082	K03111
3300026284-bin.6_BEJBMJGD_01083	K02990
3300026284-bin.6_BEJBMJGD_01087	K01858
3300026284-bin.6_BEJBMJGD_01097	K03466
3300026284-bin.6_BEJBMJGD_01100	K03924
3300026284-bin.6_BEJBMJGD_01102	K12132
3300026284-bin.6_BEJBMJGD_01104	K20074
3300026284-bin.6_BEJBMJGD_01110	K03924
3300026284-bin.6_BEJBMJGD_01115	K20074
3300026284-bin.6_BEJBMJGD_01118	K00970
3300026284-bin.6_BEJBMJGD_01121	K03980
3300026284-bin.6_BEJBMJGD_01123	K03088
3300026284-bin.6_BEJBMJGD_01125	K00384
3300026284-bin.6_BEJBMJGD_01126	K03671
3300026284-bin.6_BEJBMJGD_01127	K03497
3300026284-bin.6_BEJBMJGD_01128	K03496
3300026284-bin.6_BEJBMJGD_01130	K03501
3300026284-bin.6_BEJBMJGD_01131	K06346
3300026284-bin.6_BEJBMJGD_01132	K03217
3300026284-bin.6_BEJBMJGD_01133	K08998
3300026284-bin.6_BEJBMJGD_01134	K03536
3300026284-bin.6_BEJBMJGD_01135	K02914
3300026284-bin.6_BEJBMJGD_01136	K02313
3300026284-bin.6_BEJBMJGD_01137	K02338
3300026284-bin.6_BEJBMJGD_01138	K00033
3300026284-bin.6_BEJBMJGD_01139	K03629
3300026284-bin.6_BEJBMJGD_01144	K00262
3300026284-bin.6_BEJBMJGD_01148	K02470
3300026284-bin.6_BEJBMJGD_01149	K02469
3300026284-bin.6_BEJBMJGD_01154	K07492
3300026284-bin.6_BEJBMJGD_01160	K07486
3300026284-bin.6_BEJBMJGD_01168	K01174
3300026284-bin.6_BEJBMJGD_01192	K00986
3300026284-bin.6_BEJBMJGD_01197	K00612
3300026284-bin.6_BEJBMJGD_01204	K03497
3300026284-bin.6_BEJBMJGD_01209	K02316
3300026284-bin.6_BEJBMJGD_01219	K03205
3300026284-bin.6_BEJBMJGD_01243	K02279
3300026284-bin.6_BEJBMJGD_01251	K03767
3300026284-bin.6_BEJBMJGD_01252	K19225
3300026284-bin.6_BEJBMJGD_01256	K01658
3300026284-bin.6_BEJBMJGD_01257	K12132
3300026284-bin.6_BEJBMJGD_01258	K05364
3300026284-bin.6_BEJBMJGD_01260	K20074
3300026284-bin.6_BEJBMJGD_01263	K06911
3300026284-bin.6_BEJBMJGD_01282	K05825
3300026284-bin.6_BEJBMJGD_01287	K09981
3300026284-bin.6_BEJBMJGD_01288	K20370
3300026284-bin.6_BEJBMJGD_01294	K10747
3300026284-bin.6_BEJBMJGD_01297	K10563
3300026284-bin.6_BEJBMJGD_01302	K03741
3300026284-bin.6_BEJBMJGD_01303	K03741
3300026284-bin.6_BEJBMJGD_01304	K03741
3300026284-bin.6_BEJBMJGD_01307	K16264
3300026284-bin.6_BEJBMJGD_01311	K06196
3300026284-bin.6_BEJBMJGD_01313	K17686
3300026284-bin.6_BEJBMJGD_01317	K08995
3300026284-bin.6_BEJBMJGD_01320	K07090
3300026284-bin.6_BEJBMJGD_01323	K21310
3300026284-bin.6_BEJBMJGD_01325	K19222
3300026284-bin.6_BEJBMJGD_01334	K00078
3300026284-bin.6_BEJBMJGD_01335	K01433
3300026284-bin.6_BEJBMJGD_01336	K17686
3300026284-bin.6_BEJBMJGD_01337	K07213
3300026284-bin.6_BEJBMJGD_01338	K21600
3300026284-bin.6_BEJBMJGD_01343	K03088
3300026284-bin.6_BEJBMJGD_01344	K04757
3300026284-bin.6_BEJBMJGD_01349	K13671
3300026284-bin.6_BEJBMJGD_01352	K04518
3300026284-bin.6_BEJBMJGD_01353	K00036
3300026284-bin.6_BEJBMJGD_01354	K00655
3300026284-bin.6_BEJBMJGD_01355	K07224
3300026284-bin.6_BEJBMJGD_01356	K16301
3300026284-bin.6_BEJBMJGD_01357	K00368
3300026284-bin.6_BEJBMJGD_01362	K07029
3300026284-bin.6_BEJBMJGD_01364	K05834
3300026284-bin.6_BEJBMJGD_01366	K07341
3300026284-bin.6_BEJBMJGD_01368	K01875
3300026284-bin.6_BEJBMJGD_01370	K07693
3300026284-bin.6_BEJBMJGD_01371	K01990
3300026284-bin.6_BEJBMJGD_01372	K01992
3300026284-bin.6_BEJBMJGD_01373	K01066
3300026284-bin.6_BEJBMJGD_01374	K01912
3300026284-bin.6_BEJBMJGD_01383	K03437
3300026284-bin.6_BEJBMJGD_01389	K01756
3300026284-bin.6_BEJBMJGD_01390	K01104
3300026284-bin.6_BEJBMJGD_01391	K01935
